scenario_id,site_id,site_name,horizon_year,case,ports,charger_power_kW,spare_capacity_kW,service_capacity_kW,capacity_basis,capacity_source,base_load_mean_kW,base_load_peak_kW,arrival_start_hr,arrival_end_hr,dwell_hr,sessions_per_day,energy_per_session_kWh,managed_charging_policy,model_rank,electrical_risk_level,source_note
SYN007_2036_base,SYN007,Synthetic Site 07,2036,base,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,61.5,83.3,9.0,15.0,2.0,3.04,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN007_2036_high,SYN007,Synthetic Site 07,2036,high,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,61.5,83.3,9.0,15.0,2.0,4.5,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN007_2036_stress_combined,SYN007,Synthetic Site 07,2036,stress_combined,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,61.5,83.3,9.0,15.0,2.0,3.54,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN007_2046_base,SYN007,Synthetic Site 07,2046,base,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,61.5,83.3,9.0,15.0,2.0,5.03,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN007_2046_high,SYN007,Synthetic Site 07,2046,high,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,61.5,83.3,9.0,15.0,2.0,8.99,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN007_2046_stress_combined,SYN007,Synthetic Site 07,2046,stress_combined,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,61.5,83.3,9.0,15.0,2.0,5.61,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN007_2056_base,SYN007,Synthetic Site 07,2056,base,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,61.5,83.3,9.0,15.0,2.0,6.26,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN007_2056_high,SYN007,Synthetic Site 07,2056,high,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,61.5,83.3,9.0,15.0,2.0,7.94,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN007_2056_stress_combined,SYN007,Synthetic Site 07,2056,stress_combined,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,61.5,83.3,9.0,15.0,2.0,7.74,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN008_2026_baseline,SYN008,Synthetic Site 08,2026,baseline,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,66.0,89.2,7.0,11.0,4.0,0.35,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN008_2036_base,SYN008,Synthetic Site 08,2036,base,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,66.0,89.2,7.0,11.0,4.0,0.66,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN008_2036_high,SYN008,Synthetic Site 08,2036,high,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,66.0,89.2,7.0,11.0,4.0,0.9,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN008_2036_stress_combined,SYN008,Synthetic Site 08,2036,stress_combined,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,66.0,89.2,7.0,11.0,4.0,1.03,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN008_2046_base,SYN008,Synthetic Site 08,2046,base,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,66.0,89.2,7.0,11.0,4.0,0.98,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN008_2046_high,SYN008,Synthetic Site 08,2046,high,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,66.0,89.2,7.0,11.0,4.0,1.32,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN008_2046_stress_combined,SYN008,Synthetic Site 08,2046,stress_combined,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,66.0,89.2,7.0,11.0,4.0,1.52,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN008_2056_base,SYN008,Synthetic Site 08,2056,base,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,66.0,89.2,7.0,11.0,4.0,1.19,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN008_2056_high,SYN008,Synthetic Site 08,2056,high,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,66.0,89.2,7.0,11.0,4.0,1.61,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN008_2056_stress_combined,SYN008,Synthetic Site 08,2056,stress_combined,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,66.0,89.2,7.0,11.0,4.0,1.84,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN009_2026_baseline,SYN009,Synthetic Site 09,2026,baseline,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,70.5,104.0,8.0,16.0,3.0,3.15,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN009_2036_base,SYN009,Synthetic Site 09,2036,base,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,70.5,104.0,8.0,16.0,3.0,4.22,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN009_2036_high,SYN009,Synthetic Site 09,2036,high,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,70.5,104.0,8.0,16.0,3.0,4.32,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN009_2036_stress_combined,SYN009,Synthetic Site 09,2036,stress_combined,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,70.5,104.0,8.0,16.0,3.0,5.53,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN009_2046_base,SYN009,Synthetic Site 09,2046,base,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,70.5,104.0,8.0,16.0,3.0,5.84,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN009_2046_high,SYN009,Synthetic Site 09,2046,high,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,70.5,104.0,8.0,16.0,3.0,9.68,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN009_2046_stress_combined,SYN009,Synthetic Site 09,2046,stress_combined,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,70.5,104.0,8.0,16.0,3.0,6.78,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN009_2056_base,SYN009,Synthetic Site 09,2056,base,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,70.5,104.0,8.0,16.0,3.0,9.19,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN009_2056_high,SYN009,Synthetic Site 09,2056,high,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,70.5,104.0,8.0,16.0,3.0,12.27,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN009_2056_stress_combined,SYN009,Synthetic Site 09,2056,stress_combined,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,70.5,104.0,8.0,16.0,3.0,11.84,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN010_2026_baseline,SYN010,Synthetic Site 10,2026,baseline,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,75.0,111.2,10.0,17.0,1.5,3.0,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN010_2036_base,SYN010,Synthetic Site 10,2036,base,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,75.0,111.2,10.0,17.0,1.5,5.9,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN010_2036_high,SYN010,Synthetic Site 10,2036,high,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,75.0,111.2,10.0,17.0,1.5,4.44,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN010_2036_stress_combined,SYN010,Synthetic Site 10,2036,stress_combined,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,75.0,111.2,10.0,17.0,1.5,4.61,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN010_2046_base,SYN010,Synthetic Site 10,2046,base,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,75.0,111.2,10.0,17.0,1.5,4.39,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN010_2046_high,SYN010,Synthetic Site 10,2046,high,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,75.0,111.2,10.0,17.0,1.5,10.23,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN010_2046_stress_combined,SYN010,Synthetic Site 10,2046,stress_combined,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,75.0,111.2,10.0,17.0,1.5,8.6,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN010_2056_base,SYN010,Synthetic Site 10,2056,base,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,75.0,111.2,10.0,17.0,1.5,6.94,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN010_2056_high,SYN010,Synthetic Site 10,2056,high,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,75.0,111.2,10.0,17.0,1.5,14.25,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN010_2056_stress_combined,SYN010,Synthetic Site 10,2056,stress_combined,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,75.0,111.2,10.0,17.0,1.5,7.71,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN011_2026_baseline,SYN011,Synthetic Site 11,2026,baseline,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,79.5,105.6,9.0,15.0,2.0,1.79,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN011_2036_base,SYN011,Synthetic Site 11,2036,base,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,79.5,105.6,9.0,15.0,2.0,5.09,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN011_2036_high,SYN011,Synthetic Site 11,2036,high,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,79.5,105.6,9.0,15.0,2.0,7.49,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN011_2036_stress_combined,SYN011,Synthetic Site 11,2036,stress_combined,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,79.5,105.6,9.0,15.0,2.0,8.22,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN011_2046_base,SYN011,Synthetic Site 11,2046,base,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,79.5,105.6,9.0,15.0,2.0,3.36,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN011_2046_high,SYN011,Synthetic Site 11,2046,high,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,79.5,105.6,9.0,15.0,2.0,5.05,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN011_2046_stress_combined,SYN011,Synthetic Site 11,2046,stress_combined,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,79.5,105.6,9.0,15.0,2.0,9.33,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN011_2056_base,SYN011,Synthetic Site 11,2056,base,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,79.5,105.6,9.0,15.0,2.0,6.52,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN011_2056_high,SYN011,Synthetic Site 11,2056,high,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,79.5,105.6,9.0,15.0,2.0,12.32,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN011_2056_stress_combined,SYN011,Synthetic Site 11,2056,stress_combined,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,79.5,105.6,9.0,15.0,2.0,12.31,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN012_2026_baseline,SYN012,Synthetic Site 12,2026,baseline,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,84.0,131.4,7.0,11.0,4.0,0.35,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN012_2036_base,SYN012,Synthetic Site 12,2036,base,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,84.0,131.4,7.0,11.0,4.0,0.66,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN012_2036_high,SYN012,Synthetic Site 12,2036,high,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,84.0,131.4,7.0,11.0,4.0,0.9,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN012_2036_stress_combined,SYN012,Synthetic Site 12,2036,stress_combined,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,84.0,131.4,7.0,11.0,4.0,1.03,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN012_2046_base,SYN012,Synthetic Site 12,2046,base,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,84.0,131.4,7.0,11.0,4.0,0.98,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN012_2046_high,SYN012,Synthetic Site 12,2046,high,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,84.0,131.4,7.0,11.0,4.0,1.32,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN012_2046_stress_combined,SYN012,Synthetic Site 12,2046,stress_combined,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,84.0,131.4,7.0,11.0,4.0,1.52,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN012_2056_base,SYN012,Synthetic Site 12,2056,base,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,84.0,131.4,7.0,11.0,4.0,1.19,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN012_2056_high,SYN012,Synthetic Site 12,2056,high,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,84.0,131.4,7.0,11.0,4.0,1.61,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN012_2056_stress_combined,SYN012,Synthetic Site 12,2056,stress_combined,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,84.0,131.4,7.0,11.0,4.0,1.84,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
